angDist,Name_1,HaKiDaSName,RA_1,DEC_1,GaiaID,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Vmag,Kmag_x,Name_2,Teff,logg,RefstarID,[Fe/H],[Fe/H]error,rv_HDS,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
4.070004,BD+092870,HaKiDaS00015,214.12512900000002,8.463111,3674612772501124608,9.102746,9.658909,8.426986,9.443999999999999,6.869,BD+092870,4604.34539759,1.4742468399200002,0,-2.42811687175,0.0612547195404,23.4506257598,118152141246387425,214.124625630,  8.464126020,0.030,0.030,90,276901888,33,55326.344525460,0,7,,,,,0,13.9535,0.0556,12.5647,0.1502,16777240,13.5993,0.0010,12.6507,0.0010,16777240,10.4611,0.0010,11.2604,0.0010,24,10.6009,0.0045,10.4430,0.0400,24
2.755476,M4L4511,HaKiDaS00016,245.96001299999998,-26.566956,6045464750320089728,10.853139,11.852913000000001,9.892579,11.29,7.23,M4L4511,4100.19194741,1.9365670609299999,1,-0.205561530663,0.311378351879,-28.98,76122459606250745,245.960585260,-26.566386900,0.011,0.004,90,436527104,52,56031.894178240,5,62,18.0794,0.0131,18.1774,0.0214,115000,17.4120,0.0080,17.4469,0.0080,115000,16.9996,0.0103,16.9413,0.0061,16892216,16.7557,0.0055,,,115000,16.4101,0.0142,15.6993,0.0106,16892216
4.667278,M4L4511,HaKiDaS00016,245.96001299999998,-26.566956,6045464750320089728,10.853139,11.852913000000001,9.892579,11.29,7.23,M4L4511,4100.19194741,1.9365670609299999,1,-0.205561530663,0.311378351879,-28.98,76122459611900958,245.961182380,-26.566189910,0.023,0.013,90,436527104,52,55831.626840280,1,13,19.8657,0.0102,20.0661,0.0088,16696,18.9250,0.0328,,,16696,18.6112,0.0140,18.6606,0.0253,16952,18.1690,0.0162,18.3597,0.0283,115000,,,,,16416
4.938587,M4L4511,HaKiDaS00016,245.96001299999998,-26.566956,6045464750320089728,10.853139,11.852913000000001,9.892579,11.29,7.23,M4L4511,4100.19194741,1.9365670609299999,1,-0.205561530663,0.311378351879,-28.98,76112459615189651,245.961496480,-26.567304440,0.013,0.008,90,503635968,60,56067.730740740,5,62,18.6211,0.0171,18.6819,0.0011,115000,17.9132,0.0122,17.9910,0.0147,115000,17.5041,0.0131,17.5743,0.0080,115000,17.2599,0.0037,17.3802,0.0279,115000,16.8764,0.0200,17.0565,0.0377,16892216
4.294708,HD252041,HaKiDaS00019,92.09925,28.978422,3436654056540592384,8.380491000000001,9.12964,7.5609827,8.877,5.7,HD252041,4826.91788395,1.9409282066900002,1,-0.255092119852,0.11629869169099999,-17.07,142770921005264795, 92.100611910, 28.978483240,0.009,0.009,90,268959744,32,55452.894548610,0,3,,,,,0,15.4552,0.2320,13.9338,0.2948,24,,,,,0,,,,,0,,,,,0
3.497975,HD150706,HaKiDaS00022,247.809879,79.78952199999999,1709456705329541504,6.850376,7.1890535,6.408883599999999,7.025,5.565,HD150706,5826.49076914,4.43226420713,2,-0.0720996085134,0.0368981743055,-5.02768188556,203742478157289052,247.814130300, 79.790135380,0.015,0.015,90,570503168,68,55785.309687500,1,3,,,,,32,13.4446,0.0024,,,56,,,,,32800,14.6232,0.0026,13.0532,0.0013,16778288,11.9898,0.0012,,,48
2.244552,HD204543,HaKiDaS00025,322.369017,-3.515311,2672702897842335872,7.9833050000000005,8.531269,7.3154487999999995,8.305,5.777,HD204543,4645.75766485,1.57626913668,0,-1.7022898370100001,0.0466881573101,27.1255379729,103783223684052039,322.368393470, -3.515348520,0.011,0.011,90,1082204160,129,55587.188715280,1,5,,,,,32,13.5848,0.0887,11.9054,0.0073,16777272,13.4905,0.0767,12.0857,0.2159,16777272,,,,,32800,13.5146,0.0022,,,16777240
3.535549,HD204543,HaKiDaS00025,322.369017,-3.515311,2672702897842335872,7.9833050000000005,8.531269,7.3154487999999995,8.305,5.777,HD204543,4645.75766485,1.57626913668,0,-1.7022898370100001,0.0466881573101,27.1255379729,103783223683432681,322.368208020, -3.514751960,0.013,0.013,90,1350639616,161,55417.596180560,1,3,,,,,16416,13.9915,0.0011,11.6491,0.0010,16891960,14.0222,0.0069,12.3090,0.1730,16793656,,,,,16416,,,,,16416
3.543904,HD204543,HaKiDaS00025,322.369017,-3.515311,2672702897842335872,7.9833050000000005,8.531269,7.3154487999999995,8.305,5.777,HD204543,4645.75766485,1.57626913668,0,-1.7022898370100001,0.0466881573101,27.1255379729,103783223682471520,322.368151910, -3.515783770,0.016,0.016,90,268513280,32,55699.572141200,0,3,,,,,0,,,,,0,10.7675,0.0010,,,16,,,,,0,12.8594,0.0000,11.1513,0.0000,16777240
4.962202,HD204543,HaKiDaS00025,322.369017,-3.515311,2672702897842335872,7.9833050000000005,8.531269,7.3154487999999995,8.305,5.777,HD204543,4645.75766485,1.57626913668,0,-1.7022898370100001,0.0466881573101,27.1255379729,103783223680232801,322.367786850, -3.514684600,0.028,0.028,90,276901888,33,56521.392500000,0,3,,,,,0,13.3272,0.0010,11.8433,0.0010,16777232,13.5371,0.1597,12.5087,0.0155,24,,,,,0,,,,,0
3.156789,VYSer,HaKiDaS00027,232.756421,1.6821830000000002,4417888542753226112,10.065284,10.341872,9.609784,10.068999999999999,8.908,VYSer,6661.12838308,3.1116683581099998,0,-1.99629194945,0.306262109415,-20.5489486576,110012327572728734,232.757237670,  1.681862760,0.052,0.018,0,847568896,101,56149.471944440,1,16,,,,,16416,17.6884,0.0562,15.7799,0.0155,16688,17.2096,0.0521,15.5836,0.0185,16793912,17.4960,0.0333,14.9369,0.2070,16892216,16.9541,0.0139,14.2624,0.0040,16793912
4.290850,61990,HaKiDaS00031,195.129717,28.457046999999996,1463849447184497408,10.233981,10.517047999999999,9.814491,10.319,9.062999999999999,61990,6281.69283676,4.03815442615,2,-0.253632049675,0.0634073330018,1.16746601144,142151951300150406,195.130020410, 28.458208670,0.011,0.011,90,1384198144,165,56710.568703700,1,3,,,,,16416,,,,,114720,14.9404,0.0309,,,16794680,,,,,16416,,,,,16416
4.296860,61990,HaKiDaS00031,195.129717,28.457046999999996,1463849447184497408,10.233981,10.517047999999999,9.814491,10.319,9.062999999999999,61990,6281.69283676,4.03815442615,2,-0.253632049675,0.0634073330018,1.16746601144,142141951281599500,195.128413690, 28.457381180,0.016,0.016,90,302067712,36,56710.575104170,0,3,,,,,0,,,,,0,16.8112,0.0057,,,1048,18.2374,0.0233,,,4120,,,,,0
3.958778,HD107752,HaKiDaS00032,185.719667,11.605306,3907404501070114560,9.698839,10.202518,9.064026,10.041,7.6610000000000005,HD107752,4777.15530554,1.68500588646,0,-2.62490584974,0.10104866033900001,10.262623204299999,121921857194698332,185.719668190, 11.606405660,0.023,0.023,90,268513280,32,56019.380034720,0,8,12.0640,0.0256,12.6505,0.0227,24,10.8869,0.2422,13.4336,0.3033,24,13.4554,0.2520,12.2613,0.0506,16777240,,,,,0,,,,,0
3.963316,HD33605,HaKiDaS00034,78.140617,27.605646999999998,3421869821331495552,8.016427,8.887244,7.1293809999999995,8.619,4.93,HD33605,4285.12994594,2.48780785746,1,0.193160404569,0.114754785587,-22.72,141120781413556264, 78.141198110, 27.604673940,0.013,0.013,90,276979712,33,56115.377569440,0,9,,,,,0,13.4264,0.0322,11.6089,0.0159,16777240,12.7496,0.0010,10.8206,0.0010,16777240,12.9106,0.1289,,,16777240,11.4025,0.0989,9.4275,0.0010,16777240
4.627114,HD206739,HaKiDaS00038,326.102583,-11.775222,6844927866837934080,8.240787,8.788905999999999,7.576172,8.611,6.0329999999999995,HD206739,4596.51935517,1.84245735801,0,-1.4347226719400001,0.0466668403123,-28.0440220392,93873261031511551,326.103161140,-11.774068010,0.015,0.015,90,268513280,32,55720.604305560,0,3,,,,,0,,,,,0,,,,,0,,,,,0,13.7070,0.0072,,,16
4.158104,HD241894,HaKiDaS00039,78.816913,29.285771999999998,3422652536173655936,9.096789,9.85251,8.285009,9.578,6.271,HD241894,4491.07385353,2.3376286589200004,1,-0.266437835854,0.101411291615,-21.7,143140788171522263, 78.817130320, 29.284632630,0.017,0.017,90,276897792,33,55878.106030090,0,7,,,,,0,14.0429,0.0291,,,16777240,9.6957,0.0010,,,16,13.2350,0.0895,,,16777240,12.1117,0.0362,10.6904,0.0539,16777240
