Name,Teff,logg,RefstarID,[Fe/H],[Fe/H]error,rv_HDS
HD40979,6135.89631873,4.34547589455,2,0.143830559231,0.06809789851800001,1.8131478265599998
G115-58,6721.22020192,4.0853365654400005,0,-1.22660468944,0.0684000647338,-11.4048572027
HD187123,5753.73394044,4.3509596407,2,0.0797780125385,0.043184884500699995,14.393913256500001
Gl838.3,5423.09223011,4.546326741190001,2,0.021831275136700003,0.0408093559477,-1.73
LP763-87,4742.28814937,4.22746284686,0,-2.26895605889,0.152359734338,20.11
HD159868,5441.09112014,3.8347399354300005,2,-0.568646375292,0.0763970944911,0.32
18Sco,6049.56695185,4.51745713789,2,0.0754525158081,0.0442868650665,-10.57
G199-36,4882.59393571,4.46477593721,1,0.074757967173,0.0963934997164,-8.74
HD92788,5651.44900446,4.318899647209999,2,0.263135533952,0.0372538503628,-29.224372522399996
HD192263,4885.20562584,4.53729669648,1,-0.015733379728600002,0.0934901153732,22.6590106868
HD134987,5643.02371766,4.22701737674,2,0.247743739855,0.05115092714240001,-9.49313498161
HD195019,5560.88710255,4.01737795881,2,-0.030334678695200002,0.0365605130944,23.371598845799998
HD4208,5587.67834197,4.39203645922,0,-1.38776779127,0.38981112891,24.74
HD160617,5863.83312475,3.8090798097099996,0,-1.9299175832599997,0.321357204911,-11.05
G17-25,5314.01542604,4.56122499732,0,-1.27921725972,0.10367088579299999,-23.72
HD204587,4105.49426534,4.5256345505699995,1,0.05869111275640001,0.190410009382,27.029582456
BD-17484,5923.97594931,4.048794870280001,0,-1.51031644955,0.0633608657848,25.72
BD-17484,5923.97594931,4.048794870280001,0,-1.5960733000100003,0.0737627654074,25.68
47UM,6100.70112797,4.39165550244,2,0.0440562142041,0.037299850176199995,-25.3557257873
HD58551,6125.52803631,4.189337695390001,2,-0.491533104721,0.045602935269499996,11.921109780999998
HD200580,5749.90610606,3.9595699902,2,-0.692385915896,0.05212347567480001,25.302738194299998
G165-39,6573.30297972,4.09233335388,0,-1.8186688907700002,0.044372983385300005,-19.97
HD128279,5144.95262621,3.1290344507,0,-2.1379196030700003,0.0578169598527,28.5211178505
LP859-35,6129.88350046,4.577264521419999,0,-1.27388232704,0.09319000249430001,-27.82
HD189558,5703.88012863,3.8201795009400006,0,-2.32783937619,0.067110891273,-0.814894672674
HD37124,5536.44369775,4.3579400775699995,2,-0.479864867812,0.027673051235500002,-1.40682215025
HD8574,6043.24876357,4.22226609455,2,0.038297778153499995,0.052900850451499996,-24.0123230479
G14-39,4638.29785355,4.69696908621,0,-2.09859818282,0.12352024405999999,-26.41
TauBoo,6666.18204716,4.3366023707,2,0.241036830756,0.093580290226,7.00878254697
HD117176,5802.42380447,4.01943846884,2,-0.123998492138,0.04871667793880001,7.31422093845
HD111980,5616.291023,3.86240419387,0,-1.0907422878,0.0399460411791,-27.72
HD134439,4923.5670905,4.59943903398,0,-1.4320093669,0.07263234060910001,29.338251485300002
