Name,[Mg1/H],[Mg1/H]error,[Al1/H],[Al1/H]error,[Si1/H],[Si1/H]error,[Ca1/H],[Ca1/H]error,[Sc2/H],[Sc2/H]error,[Ti1/H],[Ti1/H]error,[Ti2/H],[Ti2/H]error,[V1/H],[V1/H]error,[Cr1/H],[Cr1/H]error,[Cr2/H],[Cr2/H]error,[Mn1/H],[Mn1/H]error,[Co1/H],[Co1/H]error,[Ni1/H],[Ni1/H]error,[Zn1/H],[Zn1/H]error
HD141531,,,,,0.9520000000000001,0.0,0.9648333333329999,0.0403956130731,1.0564,0.03665842331580001,0.894,0.0825978207945,1.12983333333,0.04343353798880001,,,1.0085,0.0635,,,0.953347754192,0.0313045181311,,,0.9306,0.027295420861400004,,
DMCyg,1.06231292064,0.0,,,0.636,0.0,1.7685,0.3175,2.0535,0.1235,2.153,0.0,,,,,2.263,0.0,,,,,,,,,,
HD204543,,,,,0.9309999999999999,0.0,0.8752,0.018192306066,0.8295,0.0245,0.841,0.07693893682660001,0.8965,0.0435516934229,,,0.925,0.04570010940909999,,,0.803148124278,0.049633345771399995,,,0.747,0.0302191991952,,
VXHer,,,,,,,,,0.35600000000000004,0.0,,,0.063,0.261,,,2.07,0.0,,,,,,,1.3195,0.0675,,
VYSer,0.48781726115400004,0.0,,,,,,,0.897,0.018000000000000002,,,1.1945,0.3485,,,1.5519999999999998,0.0,,,,,,,1.915,0.0,,
HD112869,-9.128853371839998,0.0,,,2.187,0.0,0.7355,0.3965,1.4409999999999998,0.0,0.295,0.0,1.2355,0.0135,,,,,,,-10.2728604048,0.0,,,,,,
HD6268,-0.719220045135,0.0,,,,,,,0.85,0.0,,,,,,,1.548,0.0,,,,,,,,,,
61990,-0.239639274746,0.0,,,-0.162,0.0,-0.1868,0.044395495267000006,-0.24275,0.0220269721024,-0.160307692308,0.11832769661800001,-0.265875,0.139061530895,-0.037133228964300005,0.042644106848999996,-0.2268,0.101424651836,,,-0.0814289144114,0.10241051657299999,-0.0162544946263,0.08243055657119999,-0.2113,0.0955123552217,,
HD107752,-0.118449750522,0.0,,,,,0.0674,0.11155554670199999,-0.4544,0.135903789498,0.154,0.010424330514100001,-0.138666666667,0.131368015725,,,,,,,-0.0647313462359,0.0,,,0.35,0.0,,
HD33605,,,,,,,-0.24366666666700001,0.042444735310199995,0.35633333333300005,0.09452454119899999,-0.496,0.127932794857,0.477666666667,0.22675145473000002,-0.39698714685900005,0.124615173665,0.203,0.113160063627,,,0.21870098376400002,0.0,0.038760247753499996,0.249345404526,0.2906,0.271359982311,,
HD130322,,,,,0.0105,0.0225,-0.0288571428571,0.0630587675368,-0.067,0.100947180908,0.006230769230770001,0.053154569737900004,-0.0261428571429,0.0389153975088,-0.039447670643800004,0.0346759275917,0.021444444444400003,0.031623167003900006,,,0.0493904731629,0.00817388281174,-0.0037450069630399997,0.0175544494327,-0.0066,0.0328487442682,,
HD169830,1.4806134931400001,0.0,,,,,-0.7140000000000001,0.314,-0.4775,0.0835,0.1985,0.2155,,,-0.168647486397,0.0,,,,,,,0.217295214263,0.0,-0.8965,0.5925,,
HD119516,,,,,0.42100000000000004,0.0,0.644,0.028600699292200004,0.38,0.119192281629,0.799666666667,0.031836387288099996,0.588428571429,0.120383740173,,,0.718,0.0180185090023,,,0.697440036204,0.056743238481099995,,,0.302,0.078,,
HD206739,,,,,,,1.1976,0.0196224361383,1.2329999999999999,0.069,1.1159999999999999,0.09181067476060001,1.3292857142899999,0.0691038851207,,,1.334,0.07400000000000001,,,1.0467631352,0.06059051781619999,,,1.03,0.045563142999599994,,
HD241894,,,,,,,-0.162666666667,0.0653928300521,0.19333333333299998,0.0817733996413,-0.2466,0.0876940134787,0.243,0.20178371259,-0.034213481766599996,0.047650573048700004,0.2468,0.208662790166,,,0.445377275374,0.0,-0.09647234929,0.200881713352,0.158666666667,0.127242113923,,
BD-11145,,,,,,,,,-0.625333333333,0.173914410623,,,-1.2105,0.2095,,,0.433,0.452,,,,,,,-0.081,0.4,,
CNLyr,,,,,-1.492,0.0,,,-1.402,0.0,0.826,0.0,-1.361,0.32696890779800003,,,-0.45475,0.316829903103,,,,,,,,,,
HE1104-0957,,,,,,,-0.5495,0.0055,0.052666666666699995,0.46726461691699994,-1.103,0.212420965695,-0.217,0.0,-1.00625647646,0.0,,,,,,,,,-0.405,0.16699999999999998,,
HD177830,,,,,,,0.52025,0.0562999777975,0.645,0.0492409044054,0.4686,0.064639306927,0.4225,0.0678988217865,0.44372046116700004,0.0,0.725166666667,0.05848480334430001,,,0.950723334929,0.330447923255,0.665697870936,0.0131462198924,0.728333333333,0.14780693112600002,,
V1221Tau,,,,,,,-0.2175,0.4555,,,,,,,,,-0.65,0.0,,,,,,,-0.281,0.0,,
HD85773,0.160978509286,0.0,,,-0.24600000000000002,0.0,0.08800000000000001,0.058994350012,-0.00025000000000099996,0.040517743027,0.01975,0.0979422661572,0.157375,0.08238619043869999,,,0.19133333333299998,0.0623769900595,,,0.49961224743999993,0.0,,,0.08325,0.127332978839,,
60551,-1.00858756989,0.0,,,0.091,0.028999999999999998,0.1258,0.0549523429892,0.0162,0.115981722698,0.0571818181818,0.18630952651299998,-0.0215714285714,0.134479798953,0.244773707933,0.234066751865,-0.00271428571429,0.0600231247954,,,-0.0230240097242,0.0,0.0808211726354,0.0619198368412,0.0702,0.0765895554237,,
HD44007,,,,,1.087,0.0,1.171,0.0919764462603,1.13066666667,0.046521201857000004,1.2408,0.08724998567339999,1.242,0.08288546314039999,,,1.3195,0.0135,,,1.11556175591,0.0800968064352,,,1.0796,0.0531586305316,,
HD246370,,,,,,,0.6855,0.09902146232,0.5660000000000001,0.0,0.4298,0.178229514952,0.5785,0.1225,0.42497323512199997,0.25434095722800004,0.695,0.13914560718900001,,,0.877735580184,0.0,0.456399081399,0.0,0.576285714286,0.17306622538,,
IOLyr,,,,,,,,,,,,,0.831,0.0,,,0.307,0.0,,,,,,,,,,
HD214161,0.410666202727,0.0,,,0.46799999999999997,0.0,0.577166666667,0.023905485191099998,0.4832,0.0343243353905,0.5326,0.059748138046300005,0.595666666667,0.037021015053,,,,,,,0.17033103138,0.39146367758199996,,,0.50725,0.0520162234308,,
G48-29,0.460111413112,0.0,,,,,,,0.284,0.0,1.271,0.078,0.1675,0.0615,,,,,,,,,,,,,,
HD041994,,,,,,,0.07,0.028999999999999998,0.32299999999999995,0.10585209807399999,0.1674,0.11701555452199999,0.0665,0.0695,0.408643766475,0.0170589837391,0.511,0.16894022611600001,,,1.01499636536,0.0,0.17730381725400002,0.030131333247700003,0.155833333333,0.132174652974,,
HD003008,,,,,,,0.7288,0.047629402683600004,0.7813333333329999,0.0400777023072,0.6248,0.0649011556137,0.896666666667,0.125566272896,,,0.712333333333,0.029352266617,,,0.7094628555020001,0.110713232624,,,0.6332,0.039926933265699995,,
HD003008,,,,,0.9520000000000001,0.0,0.7384,0.031257639066300004,0.8146,0.043811414037899996,0.6536,0.0557982078565,0.936777777778,0.112056313004,,,0.77,0.068633082402,,,0.6503051139370001,0.0913172487568,,,0.6496,0.0448535394367,,
HE2134-3940,,,,,,,,,,,0.981333333333,0.46442102546,0.6458,0.364818530231,,,,,,,,,,,,,,
UUCet,,,,,,,-0.313,0.0,0.419,0.040999999999999995,,,1.249,0.0,,,,,,,,,,,0.33399999999999996,0.0,,
HD189733,0.264336771119,0.0,,,,,0.419,0.091,0.418666666667,0.086565325365,0.41333333333300004,0.06610261383299999,0.38,0.0938509456532,0.488487334683,0.0661495920143,0.6054,0.0893456210455,,,0.820039789905,0.329897459326,0.4710037029,0.127796584113,0.488,0.0442530601578,,
BD+042621,,,,,0.349,0.0,0.41,0.0337934904974,0.237,0.023,0.4896,0.07373086192360001,0.329166666667,0.0440470077178,,,0.9005,0.2035,,,,,,,0.2868,0.112341265793,,
HE0319-0215,0.068094494899,0.0,,,1.043,0.0,0.523,0.192530517062,0.955333333333,0.351160298946,1.0266666666700002,0.191158456668,0.4875,0.14055692796900002,,,0.8535,0.2625,,,1.4846536255200002,0.0,,,1.275,0.043,,
63433,,,,,-0.9279999999999999,0.11599999999999999,-0.848,0.0444882006829,-1.0390000000000001,0.193448528899,-0.99125,0.171423270007,-0.907666666667,0.124679143761,-0.36266207429200004,0.0,-1.0492,0.193447047018,,,-0.711605857568,0.22144486290999998,-0.236208328801,0.0,-1.1998,0.133463702931,,
HD193653,-1.2106050807700002,0.0,,,-0.6995,0.0035,-0.871,0.036193922141699995,-0.982333333333,0.275202753539,-0.565125,0.338684380176,-0.9740000000000001,0.07570468941880001,-0.360844093116,0.061228678436,-0.851,0.14283090235200002,,,-0.380098831004,0.108987136084,-0.303797588869,0.231849374598,-0.897666666667,0.146083689865,,
HE1523-1155,0.509797667645,0.0,,,0.9670000000000001,0.0,0.9184,0.196793902345,0.74775,0.147958397869,1.49466666667,0.228620986691,0.653333333333,0.32089492915199996,,,,,,,1.6503847301499999,0.0,,,1.2395,0.37194522446199996,,
HD108577,0.397593637989,0.0,,,0.425,0.0,0.514142857143,0.0614129548256,0.4594,0.0443558338891,0.5628,0.055068684386,0.575,0.05996874185769999,,,0.63525,0.0421032955955,,,0.574432076857,0.00975986744297,,,0.416666666667,0.0866346094558,,
17583-100,,,,,,,,,0.5920000000000001,0.0,,,0.00733333333333,0.181580713611,,,1.465,0.0,,,,,,,1.37366666667,0.329152784517,,
HD70088,,,,,,,-0.496,0.256180600358,-0.25333333333299995,0.0409742466543,-0.366583333333,0.178655841556,-0.1072,0.08555559595960001,-0.45061318664399996,0.20611747774999997,-0.19044444444400002,0.0892812175234,,,-0.653205109262,0.48444524383500004,-0.276630960186,0.0081096968992,-0.428142857143,0.1527588469,,
XO-1,,,,,-0.1255,0.0055,-0.147166666667,0.0243954686138,-0.039,0.0351681674245,-0.235,0.059879044748599994,0.011666666666700002,0.027932458220199997,-0.37091799160300004,0.0504654653269,-0.22033333333299998,0.044529640565499996,,,-0.33236930472,0.0,-0.258625019853,0.109147542732,-0.18733333333299998,0.0409742466543,,
HD103545,0.36633990246299997,0.0,,,0.237,0.0,0.4522,0.09862332381339999,0.3094,0.04630593914390001,0.41275,0.0887619710236,0.4616,0.128674162131,,,0.532,0.053,,,0.23916087961,0.0,,,0.154,0.14455033725299998,,
HE1425-2052,2.26006519412,0.0,,,,,0.7294,0.26122526677200003,0.84,0.0948823833315,0.514,0.0481940521918,1.5530000000000002,0.06153048025169999,,,,,,,1.99327979975,0.0,,,1.329,0.140969854934,,
HD036702,,,,,0.662,0.0,0.33616666666699996,0.0472737300787,0.47200000000000003,0.006999999999999999,0.1044,0.051192186903900004,0.66475,0.0790106796579,,,0.1655,0.0465,,,-0.0982523905414,0.28425153505,,,0.305,0.153354165252,,
HD221851,-0.20614691945500002,0.0,,,-0.079,0.0,-0.092,0.0498464308318,-0.0875,0.102955896707,-0.0365,0.09530458690810001,0.04583333333330001,0.09550814392269999,-0.135108079684,0.0110092501834,-0.0318888888889,0.061198119877500005,,,-0.112698903838,0.0631326567836,-0.175988432907,0.0284824193988,-0.10388888888900001,0.0700070543183,,
HD187111,0.589373135233,0.0,,,0.899,0.0,0.27399999999999997,0.320663894652,-0.16075,0.132076445667,-0.1662,0.173686384037,0.1974,0.257939993022,,,,,,,,,,,0.418666666667,0.156205704833,,
M13L70,,,,,1.296,0.0,0.909,0.053072277760300005,1.068,0.0650589476296,1.0659999999999998,0.0,1.0598,0.0871995412832,,,,,,,0.802870048113,0.0,,,1.0978,0.043531138280499995,,
HD237846,-0.34944859883900004,0.0,,,-0.256,0.0,-0.33933333333300003,0.0611137373173,-0.504,0.139,0.068,0.09825731524930001,-0.303,0.0645600495663,,,-0.0013333333333299998,0.0519572473824,,,,,,,-0.286333333333,0.195472646566,,
BD+102495,0.6239359706000001,0.0,,,0.49700000000000005,0.0,0.665,0.0363396674252,0.494666666667,0.13811669784000002,0.765,0.0717913643832,0.586444444444,0.117932288587,,,0.7833333333329999,0.0531183165731,,,0.750731946409,0.0,,,0.5288,0.102497609728,,
BD+292356,,,,,1.1059999999999999,0.0,1.1834,0.05834243738480001,0.951,0.071,1.2188,0.0788426280638,0.9620000000000001,0.0751721833051,,,1.3535,0.0642086442779,,,1.31148526424,0.015741942967799998,,,1.087,0.05401481278319999,,
BD-035215,,,,,1.295,0.0,1.3630000000000002,0.05800574684169999,1.23375,0.041160508986199995,1.4458,0.0900342157182,1.31957142857,0.0699772557802,,,1.535,0.018000000000000002,,,,,,,1.2914,0.0129089116505,,
HD33771,0.6750065011399999,0.0,,,,,0.621333333333,0.0133998341615,0.5612,0.042191942358699996,0.5742,0.0426492672856,0.694777777778,0.0751676315944,,,0.6385,0.044958314025300004,,,,,,,0.3208,0.17217363328899998,,
HD68988,0.051348925847300005,0.0,,,0.252,0.066,0.24175,0.0442005373271,0.4156,0.10682246954600001,0.23253333333299997,0.0728284437718,0.34214285714299997,0.10603157019300001,0.137245406731,0.0768176897797,0.24911111111099998,0.0698767875056,,,0.31255871860999995,0.07929319531949999,0.281673974512,0.0385165970872,0.370545454545,0.0446346046682,,
HD224959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD+12.2547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G59-27,,,,,0.904,0.0,1.0438333333299998,0.12867195585000002,0.7803333333329999,0.0598739416515,1.2695,0.09371899487299999,0.80925,0.09025069251810001,,,1.5019999999999998,0.0,,,,,,,1.2515,0.3545,,
BD+302611,,,,,1.147,0.0,1.02816666667,0.0582392097779,1.1074,0.0411708634838,0.8544,0.08578018419189999,1.163625,0.0646450645835,,,,,,,1.06263379239,0.0456990738863,,,1.0038,0.058870705788199994,,
G53-41,1.29845638035,0.0,,,1.1179999999999999,0.0,1.35057142857,0.0353789975747,1.255,0.0197989898732,1.5330000000000001,0.10558219546900001,1.26714285714,0.09517266800239998,,,1.58266666667,0.115019805058,,,1.5363659348299998,0.0,,,1.3086666666700002,0.0278248490063,,
BD-18271,0.270205293952,0.0,,,0.22,0.0,0.266,0.040069938857,0.326,0.0739909904425,0.196,0.06533911539040001,0.4762,0.0686393473162,,,0.33,0.0,,,-1.7867368336200002,1.92647454539,,,0.154,0.08334986502689999,,
CS29497-034,,,,,,,-2.3185,0.4655,,,-3.111,0.14,-0.13699999999999998,0.0,-2.5350544288,0.321201852738,-1.08933333333,0.29393461101999996,,,,,,,0.3145,0.0205,,
HD28185,-0.6409634459260001,0.0,,,0.213,0.0,0.23275,0.044957618931599996,0.30066666666700004,0.0335194802399,0.318066666667,0.0707497624652,0.252125,0.0538526635832,0.34508931951300004,0.0369789053984,0.291555555556,0.043665677116300004,,,0.42108177186499995,0.0658155961509,0.34002472706,0.042499819234300004,0.3257,0.068536194817,,
HD179949,-0.179620445817,0.0,,,0.063,0.0,0.0904,0.04506262309280001,0.075,0.0874271124995,-0.0235714285714,0.107085889617,0.038375,0.105624260352,-0.128034373765,0.0616317162414,0.07128571428569999,0.06370179249710001,,,-0.0319363387072,0.045597519006,-0.127683328916,0.251412678477,0.0698181818182,0.0331300966764,,
BD+06648,,,,,,,0.515666666667,0.0397478161524,0.495,0.0376651917115,0.384,0.0412553026895,0.7358571428569999,0.04561775522580001,,,0.495,0.0,,,0.33684836139700003,0.0489255444314,,,0.3228,0.036690053148,,
BD+06648,,,,,0.5920000000000001,0.0,0.5356,0.034284690460900005,0.511666666667,0.0467641838258,0.4274,0.0462238033918,0.7513333333329999,0.0805715692895,,,0.445,0.0265455583228,,,0.38225017578299997,0.0862442447119,,,0.3764,0.043070175295699994,,
NGC2682141,-6.31681410143,0.0,,,,,0.0913333333333,0.0578811041897,0.18166666666700002,0.125412209223,0.1448,0.08994754026650001,0.18425,0.106965823981,0.533480530875,0.00622483153634,0.3995,0.144248339101,,,0.630041443362,0.319182598981,0.35432634518100004,0.0781833304142,0.31,0.165895147608,,
HD187085,,,,,-0.0325,0.0075,-0.023,0.0383623078903,-0.03925,0.04400213063019999,-0.0604285714286,0.056393660086599996,-0.05466666666669999,0.042866718507,-0.11734310684499999,0.11771607100400001,-0.038,0.021,,,-0.0123815576204,0.0,-0.178467957225,0.19868187596700002,-0.029875,0.038139341564800006,,
HE0017+0055,1.28719282456,0.0,,,,,-1.5295,0.1455,-0.17600000000000002,0.0,-1.1885,0.2065,-0.0185,0.0695,-1.4773375201199999,0.0,-0.29100000000000004,0.448333023544,,,,,-0.267995141525,0.380427654806,-0.787,0.0,,
BD-10548,0.863488676744,0.0,,,0.9670000000000001,0.0,0.8953333333329999,0.0660319787847,1.1114,0.0475461880701,0.757,0.0492219463248,1.1996666666700002,0.07037202727089999,,,0.851,0.052000000000000005,,,-1.15480384108,1.9301965090200002,,,0.7942,0.07213709170739999,,
HD214362,0.7890478961059999,0.0,,,0.802,0.0,0.993,0.0715658205198,0.8078,0.044237540618799996,1.1044,0.12098528836200001,0.880714285714,0.0902879746552,,,1.041,0.0,,,,,,,0.826333333333,0.0938947401201,,
HD19994,,,,,0.08800000000000001,0.0,0.04716666666669999,0.0369252247417,0.147,0.105941021328,0.039583333333300004,0.18195533258299998,0.066125,0.045753244420499994,-0.0390731278444,0.0954700281573,0.156571428571,0.118293650527,,,0.0362594649765,0.0734595707586,-0.01725009076,0.11785343877,0.0970909090909,0.0716842248976,,
M4L3209,3.5475872796900005,0.0,,,,,-0.7879999999999999,0.21899999999999997,-0.168,0.0,0.302,0.0,0.3565,0.1255,,,-0.316,0.0,,,-3.4356283149,0.0,,,0.1705,0.1265,,
BD+042466,0.648452389728,0.0,,,0.541,0.0,0.823571428571,0.05044050850219999,0.5955,0.046002717311,0.8352,0.0696718020436,0.675,0.143141538346,,,0.77275,0.045113052435,,,0.706277852179,0.028235833256599997,,,0.4435,0.149902468292,,
HD80606,-0.005341420422350001,0.0,,,0.264,0.0,0.2156,0.0199659710508,0.4222,0.0851713566876,0.285,0.123817607795,0.29742857142900003,0.205175783271,0.29451588017200003,0.07520578375560001,0.3235,0.0734931969641,,,0.360987861037,0.0809365894812,0.29487679896499996,0.0499315117629,0.40244444444399996,0.07465939117989999,,
HD80606,0.23866146253400003,0.0,,,0.361,0.0,0.294,0.023723406163499997,0.4674,0.136332828035,0.358066666667,0.132342216327,0.413142857143,0.115582288029,0.247689645858,0.027818361932599997,0.347875,0.0695169718486,,,0.445729789369,0.115558748956,0.358497769536,0.044481141896099995,0.4922,0.051671655673099996,,
KXLyr,1.1029726371200002,0.0,,,,,2.2430000000000003,0.0,1.9809999999999999,0.121,2.765,0.0,,,,,2.7030000000000003,0.0,,,,,,,2.06,0.0,,
M4L2406,0.860674668087,0.0,,,1.7930000000000001,0.0,-0.1535,0.3815,-0.2505,0.3985,-0.501,0.0,0.27699999999999997,0.413006053224,,,,,,,-4.62540040625,0.0,,,,,,
GJ1233,,,,,0.083,0.0,0.08199999999999999,0.0431817862839,0.0628,0.0589148538146,0.0544,0.077817992778,0.132,0.029131884021900003,0.0181402147267,0.028043604884200005,0.138571428571,0.0467969997294,,,0.189937990238,0.025414118632,0.0279492053889,0.030506970991599998,0.08042857142860001,0.06632788067699999,,
LP877-70,,,,,-0.5215,0.0085,-0.7808,0.181146791305,-0.34466666666699997,0.19186163996199998,-0.624846153846,0.315800045344,-0.30966666666700005,0.268309936868,-0.45838891027900003,0.177238649669,-0.560222222222,0.151036255969,,,-0.615288466068,0.398238130509,-1.19026591529,0.498547211091,-0.6398,0.231780413323,,
V445Oph,,,,,,,-0.507,0.168,,,0.5870000000000001,0.0,,,-2.48125346569,0.0,-0.484,0.0,,,,,,,-0.442,0.0,,
HD232078,,,,,,,0.507666666667,0.47169010542499995,0.5696666666669999,0.240280854187,0.847,0.0,0.882,0.259636284059,,,,,,,-4.09958350081,0.0,,,0.993,0.354,,
RRCet,,,,,,,-0.7909999999999999,0.0,-1.531,0.0,-0.21100000000000002,0.0,,,0.8790649662029999,0.0,0.1385,0.1735,,,,,0.13409508251900001,0.0,,,,
HE1429-0551,0.018256870811,0.0,,,,,0.542333333333,0.380993729899,0.943666666667,0.42856686240999997,0.6185,0.254448914323,0.727,0.180070819402,,,,,,,0.465572221109,0.0,,,1.0575,0.0465,,
HD23484,,,,,0.068,0.0,0.02425,0.0442796510826,0.01125,0.0766725994081,0.08838461538460002,0.0856338704212,0.12225,0.0342372238945,-0.051628060060599994,0.044704699010500004,0.06233333333330001,0.0692900505925,,,0.114365667317,0.0360703007857,-0.0659263064142,0.119028878519,0.057333333333300006,0.05520466968980001,,
BD+03740,,,,,,,0.2715,0.0415,-0.09699999999999999,0.0,,,0.092,0.0,,,0.38299999999999995,0.0,,,,,,,,,,
BD+03740,-0.04876216507569999,0.0,,,,,0.221,0.033,0.1425,0.2125,0.875,0.0,0.141,0.171557570512,,,,,,,,,,,,,,
HD190647,-5.68802970612,0.0,,,,,0.2195,0.029618406439200003,0.3622,0.0368369379835,0.263166666667,0.0177709188157,0.387666666667,0.0479884245302,0.221300646478,0.0454336238734,0.2095,0.0335,,,0.212900092274,0.0,0.323331275819,0.0655399147867,0.293142857143,0.0342529605454,,
