# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Sep 18 04:09:25 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Subaru/Hyper Suprime-Cam (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  gmag    rmag    imag    zmag    ymag    NB816mag  NB921mag
0.0015467 -1.00000 10.00000 0.6148604155 2.3309140205    0.615 -0.677  3.7068  4.683    1  0.000  0.544     0.00     0.00 -1 -1.53e-14      0.00 7.844e-01 2.142e-01 2.536e-04 6.848e-05 6.216e-04 -1.000 1.392e-03 6.463 7.113 6.293 5.823 5.614 5.540 5.693 5.566
0.0015467 -1.00000 10.00000 0.6355409622 2.3436696529    0.635 -0.594  3.7198  4.666    1  0.000  0.544     0.00     0.00 -1 -1.86e-14      0.00 7.875e-01 2.111e-01 2.504e-04 6.764e-05 6.141e-04 -1.000 1.398e-03 6.255 6.836 6.068 5.623 5.428 5.363 5.500 5.384
0.0015467 -1.00000 10.00000 0.6499999762 2.3520355225    0.650 -0.536  3.7287  4.654    1  0.000  0.544     0.00     0.00 -1 -2.13e-14      0.00 7.897e-01 2.089e-01 2.481e-04 6.704e-05 6.087e-04 -1.000 1.403e-03 6.110 6.650 5.915 5.485 5.300 5.241 5.366 5.259
0.0015467 -1.00000 10.00000 0.6615411639 2.3584120274    0.661 -0.490  3.7351  4.641    1  0.000  0.543     0.00     0.00 -1 -2.38e-14      0.00 7.919e-01 2.067e-01 2.460e-04 6.647e-05 6.037e-04 -1.000 1.399e-03 5.995 6.509 5.796 5.377 5.198 5.143 5.261 5.159
0.0015467 -1.00000 10.00000 0.6781662107 2.3671603203    0.678 -0.424  3.7442  4.622    1  0.000  0.543     0.00     0.00 -1 -2.81e-14      0.00 7.952e-01 2.035e-01 2.428e-04 6.563e-05 5.961e-04 -1.000 1.371e-03 5.829 6.308 5.626 5.222 5.053 5.003 5.110 5.016
0.0015467 -1.00000 10.00000 0.6936124563 2.3748576641    0.693 -0.361  3.7523  4.602    1  0.000  0.543     0.00     0.00 -1 -3.28e-14      0.00 7.984e-01 2.003e-01 2.397e-04 6.481e-05 5.887e-04 -1.000 1.359e-03 5.674 6.123 5.470 5.081 4.920 4.874 4.973 4.885
0.0015467 -1.00000 10.00000 0.6999999881 2.3779268265    0.700 -0.336  3.7556  4.593    1  0.000  0.543     0.00     0.00 -1  -3.5e-14      0.00 7.997e-01 1.989e-01 2.384e-04 6.446e-05 5.856e-04 -1.000 1.345e-03 5.609 6.047 5.406 5.022 4.864 4.820 4.916 4.831
0.0015467 -1.00000 10.00000 0.7073645592 2.3813865185    0.707 -0.305  3.7593  4.582    1  0.000  0.542     0.00     0.00 -1 -3.78e-14      0.00 8.016e-01 1.971e-01 2.361e-04 6.397e-05 5.813e-04 -1.000 1.306e-03 5.533 5.959 5.330 4.954 4.800 4.758 4.849 4.767
0.0015467 -1.00000 10.00000 0.7182536721 2.3863525391    0.718 -0.260  3.7647  4.565    1  0.000  0.540     0.00     0.00 -1 -4.25e-14      0.00 8.045e-01 1.942e-01 2.326e-04 6.320e-05 5.746e-04 -1.000 1.303e-03 5.420 5.829 5.219 4.852 4.703 4.664 4.749 4.672
0.0015467 -1.00000 10.00000 0.7286624312 2.3909404278    0.728 -0.216  3.7696  4.547    1  0.000  0.538     0.00     0.00 -1 -4.76e-14      0.00 8.075e-01 1.913e-01 2.292e-04 6.244e-05 5.680e-04 -1.000 1.272e-03 5.310 5.705 5.112 4.753 4.609 4.572 4.653 4.579
0.0015467 -1.00000 10.00000 0.7384952903 2.3951380253    0.738 -0.174  3.7741  4.528    1  0.000  0.536     0.00     0.00 -1 -5.32e-14      0.00 8.104e-01 1.884e-01 2.259e-04 6.169e-05 5.615e-04 -1.000 1.265e-03 5.204 5.587 5.009 4.658 4.519 4.484 4.560 4.490
0.0015467 -1.00000 10.00000 0.7478531003 2.3990151882    0.748 -0.133  3.7782  4.509    1  0.000  0.535     0.00     0.00 -1 -5.94e-14      0.00 8.133e-01 1.855e-01 2.226e-04 6.094e-05 5.549e-04 -1.000 1.205e-03 5.102 5.473 4.910 4.566 4.431 4.398 4.469 4.403
0.0015467 -1.00000 10.00000 0.7500000000 2.3998889923    0.750 -0.123  3.7792  4.505    1  0.000  0.534     0.00     0.00 -1 -6.09e-14      0.00 8.140e-01 1.848e-01 2.218e-04 6.077e-05 5.533e-04 -1.000 1.203e-03 5.078 5.447 4.887 4.544 4.410 4.377 4.448 4.383
0.0015467 -1.00000 10.00000 0.7572705150 2.4028060436    0.757 -0.091  3.7818  4.487    1  0.000  0.534     0.00     0.00 -1 -6.67e-14      0.00 8.172e-01 1.816e-01 2.188e-04 5.996e-05 5.461e-04 -1.000 1.203e-03 4.997 5.359 4.807 4.469 4.338 4.306 4.375 4.312
0.0015467 -1.00000 10.00000 0.7677704096 2.4069068432    0.767 -0.042  3.7854  4.459    1  0.000  0.534     0.00     0.00 -1 -7.64e-14      0.00 8.218e-01 1.769e-01 2.144e-04 5.876e-05 5.353e-04 -1.000 1.243e-03 4.876 5.228 4.689 4.358 4.230 4.200 4.265 4.204
0.0015467 -1.00000 10.00000 0.7777299285 2.4106791019    0.777  0.005  3.7888  4.430    1  0.000  0.533     0.00     0.00 -1 -8.75e-14      0.00 8.263e-01 1.725e-01 2.100e-04 5.760e-05 5.249e-04 -1.000 1.196e-03 4.757 5.100 4.573 4.247 4.122 4.093 4.156 4.098
