# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Tue Oct 13 10:03:06 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Subaru/Hyper Suprime-Cam (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  gmag    rmag    imag    zmag    ymag    NB816mag  NB921mag
0.00015547 -2.00000 10.00000 0.5940754414 2.3170597553    0.594 -0.667  3.7243  4.728    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-14      0.00 7.884e-01 2.114e-01 2.530e-05 6.832e-06 6.201e-05 -1.000 1.560e-04 6.437 6.928 6.429 6.217 6.144 6.121 6.175 6.132
0.00015547 -2.00000 10.00000 0.6003244519 2.3213412762    0.600 -0.643  3.7272  4.720    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-14      0.00 7.897e-01 2.101e-01 2.516e-05 6.796e-06 6.168e-05 -1.000 1.637e-04 6.377 6.855 6.367 6.161 6.091 6.070 6.121 6.079
0.00015547 -2.00000 10.00000 0.6125001311 2.3293952942    0.612 -0.592  3.7340  4.705    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-14      0.00 7.929e-01 2.069e-01 2.482e-05 6.705e-06 6.087e-05 -1.000 1.636e-04 6.250 6.702 6.238 6.045 5.982 5.964 6.008 5.972
0.00015547 -2.00000 10.00000 0.6271697283 2.3386228085    0.627 -0.531  3.7422  4.687    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.11e-14      0.00 7.971e-01 2.028e-01 2.439e-05 6.589e-06 5.983e-05 -1.000 1.463e-04 6.098 6.520 6.084 5.905 5.851 5.838 5.872 5.843
0.00015547 -2.00000 10.00000 0.6402659416 2.3464512825    0.640 -0.476  3.7494  4.670    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-14      0.00 8.011e-01 1.988e-01 2.398e-05 6.480e-06 5.884e-05 -1.000 1.337e-04 5.961 6.359 5.948 5.784 5.737 5.727 5.754 5.731
0.00015547 -2.00000 10.00000 0.6499999762 2.3520355225    0.650 -0.435  3.7548  4.657    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-14      0.00 8.041e-01 1.957e-01 2.366e-05 6.394e-06 5.807e-05 -1.000 1.341e-04 5.858 6.239 5.848 5.693 5.652 5.646 5.666 5.648
0.00015547 -2.00000 10.00000 0.6581508517 2.3565654755    0.658 -0.401  3.7591  4.645    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.92e-14      0.00 8.074e-01 1.925e-01 2.332e-05 6.304e-06 5.727e-05 -1.000 1.386e-04 5.771 6.139 5.763 5.617 5.581 5.576 5.592 5.577
0.00015547 -2.00000 10.00000 0.6706717610 2.3632783890    0.670 -0.347  3.7656  4.626    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.35e-14      0.00 8.127e-01 1.872e-01 2.277e-05 6.158e-06 5.595e-05 -1.000 1.146e-04 5.637 5.988 5.634 5.499 5.469 5.468 5.477 5.467
0.00015547 -2.00000 10.00000 0.6829990745 2.3696117401    0.683 -0.293  3.7720  4.605    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.84e-14      0.00 8.183e-01 1.815e-01 2.219e-05 6.003e-06 5.456e-05 -1.000 1.512e-04 5.503 5.838 5.505 5.382 5.358 5.359 5.363 5.357
0.00015547 -2.00000 10.00000 0.6939523816 2.3750226498    0.694 -0.245  3.7774  4.586    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -4.36e-14      0.00 8.237e-01 1.762e-01 2.163e-05 5.855e-06 5.323e-05 -1.000 1.636e-04 5.383 5.705 5.389 5.275 5.256 5.260 5.259 5.257
0.00015547 -2.00000 10.00000 0.6999999881 2.3779268265    0.700 -0.218  3.7804  4.575    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-14      0.00 8.268e-01 1.731e-01 2.131e-05 5.769e-06 5.246e-05 -1.000 1.636e-04 5.316 5.631 5.325 5.216 5.200 5.205 5.201 5.202
0.00015547 -2.00000 10.00000 0.7003502250 2.3780932426    0.700 -0.217  3.7806  4.574    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -4.69e-14      0.00 8.270e-01 1.729e-01 2.129e-05 5.764e-06 5.242e-05 -1.000 1.632e-04 5.312 5.626 5.321 5.213 5.197 5.202 5.198 5.199
0.00015547 -2.00000 10.00000 0.7129241228 2.3839437962    0.713 -0.159  3.7864  4.547    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -5.48e-14      0.00 8.341e-01 1.658e-01 2.052e-05 5.577e-06 5.076e-05 -1.000 1.376e-04 5.167 5.469 5.182 5.085 5.075 5.082 5.073 5.078
0.00015547 -2.00000 10.00000 0.7250341177 2.3893582821    0.725 -0.102  3.7919  4.519    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -6.4e-14      0.00 8.406e-01 1.593e-01 1.984e-05 5.412e-06 4.931e-05 -1.000 8.148e-05 5.024 5.312 5.044 4.957 4.952 4.961 4.947 4.957
0.00015547 -2.00000 10.00000 0.7358090878 2.3940041065    0.735 -0.048  3.7966  4.491    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -7.41e-14      0.00 8.459e-01 1.540e-01 1.930e-05 5.282e-06 4.817e-05 -1.000 1.043e-04 4.891 5.168 4.916 4.837 4.837 4.848 4.829 4.843
0.00015547 -2.00000 10.00000 0.7459657192 2.3982422352    0.746  0.004  3.8010  4.463    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -8.58e-14      0.00 8.505e-01 1.494e-01 1.886e-05 5.177e-06 4.726e-05 -1.000 7.454e-05 4.760 5.027 4.788 4.718 4.722 4.735 4.712 4.730
0.00015547 -2.00000 10.00000 0.7500000000 2.3998889923    0.750  0.025  3.8027  4.450    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -9.12e-14      0.00 8.522e-01 1.478e-01 1.870e-05 5.142e-06 4.695e-05 -1.000 6.360e-05 4.706 4.969 4.736 4.668 4.675 4.688 4.663 4.682
0.00015547 -2.00000 10.00000 0.7574196458 2.4028651714    0.757  0.066  3.8061  4.428    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-13      0.00 8.529e-01 1.471e-01 1.872e-05 5.150e-06 4.704e-05 -1.000 7.641e-05 4.606 4.860 4.637 4.576 4.586 4.600 4.573 4.594
0.00015547 -2.00000 10.00000 0.7659633756 2.4062101841    0.765  0.115  3.8099  4.399    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-13      0.00 8.536e-01 1.464e-01 1.876e-05 5.162e-06 4.717e-05 -1.000 8.415e-05 4.483 4.727 4.517 4.463 4.476 4.492 4.461 4.486
0.00015547 -2.00000 10.00000 0.7741444111 2.4093339443    0.773  0.165  3.8135  4.368    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-13      0.00 8.541e-01 1.458e-01 1.880e-05 5.175e-06 4.731e-05 -1.000 1.167e-04 4.358 4.592 4.394 4.346 4.364 4.380 4.347 4.374
0.00015547 -2.00000 10.00000 0.7817934155 2.4121863842    0.781  0.215  3.8169  4.335    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-13      0.00 8.546e-01 1.453e-01 1.884e-05 5.189e-06 4.745e-05 -1.000 1.320e-04 4.233 4.458 4.269 4.228 4.249 4.267 4.231 4.261
0.00015547 -2.00000 10.00000 0.7910034657 2.4155371189    0.790  0.280  3.8209  4.291    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-13      0.00 8.550e-01 1.449e-01 1.890e-05 5.209e-06 4.765e-05 -1.000 1.111e-04 4.070 4.284 4.107 4.074 4.099 4.117 4.078 4.111
0.00015547 -2.00000 10.00000 0.7995058894 2.4185516834    0.798  0.346  3.8242  4.242    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.34e-13      0.00 8.552e-01 1.447e-01 1.897e-05 5.229e-06 4.785e-05 -1.000 7.017e-05 3.904 4.106 3.940 3.914 3.942 3.961 3.920 3.955
0.00015547 -2.00000 10.00000 0.8000000119 2.4187245369    0.799  0.350  3.8244  4.240    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.37e-13      0.00 8.552e-01 1.447e-01 1.898e-05 5.230e-06 4.786e-05 -1.000 6.817e-05 3.894 4.096 3.931 3.904 3.933 3.952 3.910 3.946
0.00015547 -2.00000 10.00000 0.8010567427 2.4190936089    0.800  0.359  3.8248  4.234    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-13      0.00 8.552e-01 1.447e-01 1.898e-05 5.232e-06 4.788e-05 -1.000 6.554e-05 3.873 4.074 3.910 3.884 3.913 3.933 3.891 3.926
